site_id,timestamp,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
0,2016-01-01 00:00:00,25.0,6.0,20.0,,1019.7,0.0,0.0
0,2016-01-01 01:00:00,24.4,,21.1,-1.0,1020.2,70.0,1.5
0,2016-01-01 02:00:00,22.8,2.0,21.1,0.0,1020.2,0.0,0.0
0,2016-01-01 03:00:00,21.1,2.0,20.6,0.0,1020.1,0.0,0.0
0,2016-01-01 04:00:00,20.0,2.0,20.0,-1.0,1020.0,250.0,2.6
0,2016-01-01 05:00:00,19.4,,19.4,0.0,,0.0,0.0
0,2016-01-01 06:00:00,21.1,6.0,21.1,-1.0,1019.4,0.0,0.0
0,2016-01-01 07:00:00,21.1,,21.1,0.0,1018.8,210.0,1.5
0,2016-01-01 08:00:00,20.6,,20.0,0.0,1018.1,0.0,0.0
0,2016-01-01 09:00:00,21.1,,20.6,0.0,1019.0,290.0,1.5
0,2016-01-01 10:00:00,21.1,,20.6,-1.0,1018.4,0.0,0.0
0,2016-01-01 11:00:00,20.6,,20.0,0.0,1018.9,0.0,0.0
0,2016-01-01 12:00:00,18.9,6.0,18.9,0.0,1019.2,210.0,1.5
0,2016-01-01 13:00:00,20.0,,20.0,0.0,1019.6,0.0,0.0
0,2016-01-01 14:00:00,21.7,,21.1,0.0,1020.1,0.0,0.0
0,2016-01-01 15:00:00,23.9,,21.1,0.0,1020.3,210.0,3.1
0,2016-01-01 16:00:00,26.1,,20.0,0.0,1020.2,210.0,4.1
0,2016-01-01 17:00:00,26.7,,20.6,0.0,1019.5,230.0,3.6
0,2016-01-01 18:00:00,27.8,6.0,20.0,0.0,1018.2,200.0,5.1
0,2016-01-01 19:00:00,28.3,,19.4,0.0,1017.2,180.0,5.1
0,2016-01-01 20:00:00,28.3,,18.9,0.0,1017.0,210.0,4.1
0,2016-01-01 21:00:00,27.8,,18.3,0.0,1016.8,220.0,4.6
0,2016-01-01 22:00:00,26.7,,18.3,0.0,1016.9,230.0,3.1
0,2016-01-01 23:00:00,25.6,,18.3,0.0,1017.5,230.0,3.1
0,2016-01-02 00:00:00,24.4,6.0,18.9,-1.0,1018.1,270.0,2.6
0,2016-01-02 01:00:00,23.9,4.0,18.3,0.0,1018.5,300.0,2.1
0,2016-01-02 02:00:00,22.2,,19.4,0.0,,360.0,5.7
0,2016-01-02 03:00:00,21.1,,18.9,0.0,1019.5,20.0,5.1
0,2016-01-02 04:00:00,20.6,,17.8,0.0,1019.4,30.0,4.6
0,2016-01-02 05:00:00,19.4,4.0,17.2,0.0,1019.3,20.0,2.6
0,2016-01-02 06:00:00,18.9,6.0,17.2,0.0,1019.0,10.0,2.1
0,2016-01-02 07:00:00,18.9,,17.2,0.0,1018.4,10.0,2.6
0,2016-01-02 08:00:00,18.9,,16.7,0.0,1018.5,360.0,3.6
0,2016-01-02 09:00:00,18.3,,16.7,0.0,1018.1,10.0,3.1
0,2016-01-02 10:00:00,18.9,,16.7,0.0,1018.1,10.0,5.1
0,2016-01-02 11:00:00,16.7,,13.9,0.0,1018.7,20.0,6.2
0,2016-01-02 12:00:00,15.6,8.0,13.3,-1.0,1019.5,350.0,5.7
